,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.76755662406681,0.7652581918343772,0.76755662406681,0.7647626411484165
Random Forest,0.6500063267113755,0.7176954686853795,0.6500063267113755,0.6175372749348137
XGBoost,0.7826141971403264,0.7804197056622346,0.7826141971403264,0.7792247487357171
Voting Ensemble,0.7856510186005314,0.7851286440034458,0.7856510186005314,0.7807578675500233
